;Inhabitants;;;;;;;;;;;;;Households;;;;;;Home;;;;;;;;;;;;;;;Social Security
6215RJ;15;5;10;0;0;0;5;10;80;0;0;0;0;15;15;0;0;0;1;20;0;0;20;0;0;0;0;0;20;0;0;0;0;127;0
6215RK;55;25;30;10;10;10;10;15;70;0;0;0;10;25;5;5;5;5;2,4;25;0;0;25;0;0;0;0;0;0;0;0;0;0;194;10
6215RL;30;15;20;0;0;5;5;15;80;0;0;0;0;20;10;0;5;0;1,7;20;0;0;20;0;0;0;0;0;0;0;0;0;0;191;0
6215RM;25;10;15;0;0;0;5;15;80;0;0;0;0;15;5;5;0;0;1,7;15;0;0;15;0;0;0;0;0;0;50;50;0;0;0;0
6215RN;25;10;15;0;0;5;0;10;70;0;0;0;0;15;10;5;0;0;1,5;15;0;0;15;0;0;0;0;0;0;0;80;0;0;0;0
6215RP;20;15;5;0;0;0;10;10;90;0;0;0;0;20;20;0;0;0;1;20;0;0;20;0;0;0;0;0;20;0;0;0;0;127;10
6215RR;30;15;15;5;0;5;0;10;70;0;0;0;0;10;0;5;0;0;2,4;10;0;0;10;0;0;0;0;0;0;0;0;0;0;0;5
6215RS;10;5;5;0;0;0;0;5;100;0;0;0;0;5;0;0;0;0;1,4;10;0;0;10;0;0;0;0;0;0;0;0;0;0;243;0
6215RT;120;70;50;0;20;50;30;15;60;10;0;20;10;90;65;20;0;0;1,3;95;0;0;10;80;0;0;0;0;80;20;70;35;0;138;25
6215RV;30;10;15;0;0;5;10;10;90;0;0;0;0;15;0;10;0;0;2,2;15;0;0;15;0;0;0;0;0;0;40;60;0;0;0;0
6215RW;35;15;15;0;0;5;10;10;70;0;0;20;0;15;0;10;0;0;1,9;15;0;0;15;0;0;0;0;0;0;50;50;0;0;0;5
6215RX;30;15;15;0;0;0;5;10;70;0;0;0;0;15;0;5;0;0;2,1;15;0;0;15;0;0;0;0;0;0;0;80;0;0;0;0
6215RZ;35;15;20;5;0;10;5;10;70;0;0;20;0;15;0;5;0;5;2,4;15;0;0;15;0;0;0;0;0;0;40;60;0;0;204;0
6215SC;25;10;10;0;0;0;0;20;100;0;0;0;0;15;0;10;0;0;1,8;15;0;0;15;0;0;0;0;0;0;0;0;0;0;210;0
6215SE;30;15;15;0;5;0;10;10;80;0;0;0;0;15;0;10;0;0;1,9;15;0;0;15;0;0;0;0;0;0;50;50;0;0;220;0
6215SG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;0;0;0;0;0;0;0;0;0;0;231;0
6215SH;55;30;30;10;0;15;15;20;80;0;0;0;0;25;0;10;0;5;2,3;25;0;0;25;0;0;0;0;0;0;20;80;0;0;239;5
6215SJ;40;20;25;0;0;5;15;15;80;0;0;0;10;25;10;5;0;5;1,8;25;0;0;25;0;0;0;0;0;0;30;70;0;0;232;0
6215SL;35;15;20;0;0;0;5;20;90;0;0;0;0;25;15;5;0;0;1,4;25;0;0;25;0;0;0;0;0;25;50;50;10;0;158;0
6215SM;30;20;15;0;0;0;15;15;80;0;0;0;0;20;15;5;0;0;1,5;25;0;0;25;0;0;0;0;0;25;60;40;10;0;162;5
6215SN;25;10;15;0;0;0;10;15;70;0;0;0;0;15;10;10;0;0;1,5;20;0;0;20;0;0;0;0;0;20;60;40;5;0;161;0
6215SP;25;10;15;0;0;0;15;5;90;0;0;0;0;20;10;0;0;0;1,4;20;0;0;20;0;0;0;0;0;20;30;70;10;0;154;0
6215SR;35;15;15;0;0;0;15;10;80;0;0;0;0;25;15;5;0;0;1,4;25;0;0;25;0;0;0;0;0;25;30;70;15;0;155;5
6215ST;30;15;15;0;0;5;10;15;80;0;0;0;0;20;15;5;0;0;1,4;25;0;0;25;0;0;0;0;0;25;60;40;10;0;162;0
6215SV;55;25;25;0;0;15;10;20;60;20;0;0;10;35;25;5;0;0;1,5;35;0;0;35;0;0;0;0;0;35;40;60;15;0;155;10
6215SX;40;20;20;0;0;0;15;15;70;0;0;0;20;15;0;10;0;5;2,4;15;0;0;15;0;0;0;0;0;0;70;30;5;0;227;5
6215SZ;100;45;55;15;5;15;25;40;80;10;10;10;0;50;20;20;0;10;1,9;50;0;0;50;0;0;0;0;0;0;0;100;0;0;0;15
6215TA;30;15;15;0;0;0;10;15;90;0;0;0;0;20;10;5;0;0;1,7;20;0;0;20;0;0;0;0;0;0;0;0;0;0;204;5
6215TB;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6215TC;10;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6215TD;15;5;10;0;0;0;0;10;70;0;0;0;0;10;0;0;0;0;1,9;10;0;0;10;0;0;0;0;0;0;0;0;0;0;208;0
6215TE;45;20;20;5;0;10;20;10;70;0;0;10;0;20;5;10;0;5;2,2;20;0;0;20;0;0;0;0;0;0;100;0;0;0;257;5
6215TG;30;15;15;0;0;5;10;10;80;0;0;0;0;15;0;10;0;0;2;10;0;0;10;0;0;0;0;0;0;90;0;0;0;232;0
6215TH;35;15;15;5;0;5;10;10;80;0;0;10;0;15;5;5;0;0;2,1;15;0;0;15;0;0;0;0;0;0;100;0;0;0;237;0
6215TJ;35;20;15;0;0;10;10;10;80;0;0;0;0;15;0;15;0;0;2,3;15;0;0;15;0;0;0;0;0;0;100;0;0;0;235;0
6215TK;45;25;20;0;5;5;25;10;80;0;0;0;0;20;0;10;0;5;2,4;20;0;0;20;0;0;0;0;0;0;100;0;0;0;240;0
6215TL;50;25;25;5;0;15;10;15;90;0;0;0;0;25;5;10;0;5;2,1;20;0;0;20;0;0;0;0;0;0;90;0;0;0;243;0
6215TM;35;20;15;5;10;0;10;5;60;0;20;0;0;15;5;0;0;5;2,4;10;0;0;10;0;0;0;0;0;0;100;0;0;0;250;0
6215TN;55;30;25;10;0;15;15;15;80;10;0;0;0;20;0;10;0;10;2,5;20;0;0;20;0;0;0;0;0;0;100;0;0;0;235;0
6215TP;35;20;15;10;0;10;10;10;90;0;0;0;0;15;5;5;0;5;2,3;15;0;0;15;0;0;0;0;0;0;90;0;0;0;0;0
6215TR;60;30;25;10;0;15;20;15;80;0;0;0;0;25;0;10;0;10;2,4;25;0;0;25;0;0;0;0;0;0;100;0;0;0;235;0
6215TS;55;25;30;0;5;0;20;30;80;10;0;0;0;25;10;15;0;5;2;25;0;0;15;10;0;0;0;0;0;90;0;0;0;310;0
6215TT;90;40;50;10;10;20;35;20;80;10;0;10;10;40;5;15;0;15;2,4;35;0;0;35;0;0;0;0;0;0;90;0;0;0;246;15
6215TV;45;20;25;10;5;15;10;5;70;0;10;10;0;25;10;0;0;10;2;20;0;0;20;0;0;0;0;0;0;0;80;15;0;217;10
6215TW;80;45;40;5;5;30;20;20;70;0;10;10;10;50;30;15;0;0;1,6;50;0;0;20;30;0;0;0;0;30;60;40;10;0;196;10
6215TX;35;10;25;10;0;10;5;5;90;0;0;0;0;15;0;5;0;0;2,5;15;0;0;15;0;0;0;0;0;0;0;0;0;0;202;0
6215TZ;45;25;20;0;0;10;15;20;70;0;0;20;0;25;20;0;0;0;1,3;35;0;0;35;0;0;0;0;0;35;30;70;25;0;149;10
6215VE;25;15;15;0;0;0;10;10;70;0;0;0;30;15;5;5;0;0;2;10;0;0;10;0;0;0;0;0;0;0;0;0;0;200;0
6215VG;20;10;10;0;0;0;5;10;70;0;0;0;0;15;5;10;0;0;1,6;10;0;0;0;0;0;10;0;0;0;100;0;0;0;318;0
6215VH;40;20;20;15;0;10;5;5;60;0;0;0;20;20;10;0;0;5;2,2;20;0;0;20;0;0;0;0;0;0;30;70;0;0;214;5
6215VJ;35;20;15;5;0;10;5;10;80;0;0;0;0;15;5;0;0;5;2,2;20;0;0;20;0;0;0;0;0;0;40;60;0;0;220;0
6215VK;30;15;15;0;0;0;5;20;100;0;0;0;0;20;5;10;0;0;1,6;20;0;0;20;0;0;0;0;0;0;0;0;0;0;0;5
6215VL;55;30;25;10;5;10;10;20;80;0;0;0;0;20;0;15;0;0;2,4;20;0;0;20;0;0;0;0;0;0;100;0;0;0;240;5
6215VM;50;25;25;10;5;15;10;10;80;0;10;0;0;20;5;5;0;10;2,4;20;0;0;20;0;0;0;0;0;0;100;0;0;0;252;0
6215VN;20;10;10;0;0;0;5;0;70;0;0;0;0;10;0;0;0;0;2,4;10;0;0;10;0;0;0;0;0;0;0;0;0;0;190;0
6215VP;25;10;15;0;0;0;10;10;80;0;0;0;0;15;5;5;0;0;1,9;15;0;0;15;0;0;0;0;0;0;0;0;0;0;185;5
6215VR;25;15;15;0;0;5;5;15;70;0;0;0;20;15;0;10;0;0;1,8;15;0;0;15;0;0;0;0;0;0;0;0;0;0;186;0
6215VS;30;15;20;5;0;5;5;10;80;0;0;0;0;15;5;5;0;0;1,9;15;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0
6215VT;40;20;15;10;5;10;5;10;70;0;0;0;10;15;5;0;5;0;2,4;15;0;0;15;0;0;0;0;0;0;0;0;0;0;0;5
6215VV;35;15;15;10;0;10;5;5;50;0;20;0;20;15;0;0;0;5;2,4;15;0;0;15;0;0;0;0;0;0;0;0;0;0;186;5
6215VW;30;15;15;0;0;0;5;15;80;20;0;0;0;15;0;5;0;0;2,4;15;0;0;15;0;0;0;0;0;0;0;0;0;0;186;0
6215VX;20;5;15;5;0;0;0;5;90;0;0;0;0;10;5;0;0;0;2;10;0;0;10;0;0;0;0;0;0;100;0;0;0;305;0
6215VZ;40;20;15;0;0;10;10;10;90;0;0;0;0;15;0;10;0;5;2,4;15;0;0;15;0;0;0;0;0;0;90;0;0;0;339;0
6215XA;50;25;25;5;0;10;10;15;70;10;0;0;0;20;5;5;0;10;2,2;25;0;0;25;0;0;0;0;0;0;100;0;0;0;334;0
6215XB;45;25;20;5;0;10;10;15;80;0;0;0;0;20;0;10;0;5;2,4;20;0;0;20;0;0;0;0;0;0;100;0;0;0;256;0
6215XC;30;15;15;0;5;0;15;5;70;0;20;0;0;15;0;5;0;5;2,3;15;0;0;15;0;0;0;0;0;0;100;0;0;0;258;0
6215XD;40;25;15;5;0;10;10;10;100;0;0;0;0;20;0;10;0;0;2,2;20;0;0;20;0;0;0;0;0;0;100;0;0;0;262;0
6215XG;60;30;30;5;10;10;20;15;80;0;0;10;0;25;5;10;0;10;2,4;25;0;0;25;0;0;0;0;0;0;100;0;0;0;258;0
6215XH;40;20;20;5;0;15;10;5;80;0;0;0;0;15;0;10;0;5;2,6;15;0;0;15;0;0;0;0;0;0;90;0;0;0;334;0
6215XJ;20;10;10;0;0;5;0;10;80;0;0;0;0;10;0;5;0;0;2,4;10;0;0;10;0;0;0;0;0;0;0;0;0;0;334;0
6215XK;50;20;25;5;0;10;10;20;90;0;0;0;0;20;0;15;0;0;2,3;20;0;0;20;0;0;0;0;0;0;100;0;0;0;308;0
6215XL;35;20;15;5;10;10;10;0;100;0;0;0;0;10;0;0;0;5;2,9;10;0;0;10;0;0;0;0;0;0;100;0;0;0;311;0
6215XM;20;10;10;0;0;5;0;5;90;0;0;0;0;10;0;5;0;0;2,5;10;0;0;10;0;0;0;0;0;0;0;0;0;0;342;0
6215XN;20;10;10;0;0;5;5;5;80;0;0;0;0;10;0;0;0;0;2,6;10;0;0;10;0;0;0;0;0;0;100;0;0;0;323;0
6215XP;40;20;20;0;0;5;10;25;90;0;0;0;0;20;5;10;0;0;2;20;0;0;0;20;0;0;0;0;0;100;0;0;0;265;5
6215XR;50;25;25;10;5;20;10;5;70;10;0;0;10;20;5;5;0;10;2,6;20;0;0;0;20;0;0;0;0;0;100;0;0;0;273;0
6215XS;55;30;25;10;5;10;20;10;80;0;0;0;0;20;0;10;0;10;2,6;20;0;0;0;20;0;0;0;0;0;100;0;0;0;270;0
6215XT;25;10;10;0;0;0;5;5;80;0;0;0;0;10;0;0;0;0;2,9;10;0;0;0;10;0;0;0;0;0;0;0;0;0;273;0
6215XV;50;25;25;0;10;10;20;10;90;0;0;0;0;20;0;10;0;10;2,5;20;0;0;20;0;0;0;0;0;0;100;0;0;0;286;0
6215XW;55;25;30;5;5;15;20;10;80;0;10;0;0;20;0;10;0;10;2,6;20;0;0;0;20;0;0;0;0;0;100;0;0;0;251;5
6215XX;50;25;25;5;5;10;20;10;80;10;0;0;0;20;0;10;0;5;2,6;20;0;0;0;20;0;0;0;0;0;100;0;0;0;278;0
6216AB;25;10;15;0;5;5;10;0;60;0;0;0;30;15;10;0;5;0;1,5;20;0;0;20;0;0;0;0;0;20;0;0;0;0;127;10
6216AC;35;15;20;5;0;5;10;15;60;0;0;0;20;15;0;10;0;0;2,2;15;0;15;0;0;0;0;0;0;0;0;0;0;0;200;10
6216AD;30;15;15;10;0;5;10;0;60;0;20;0;0;15;0;0;5;0;2,3;15;0;15;0;0;0;0;0;0;0;0;0;0;0;0;5
6216AE;30;15;15;0;0;15;5;10;70;0;0;0;20;25;15;10;0;0;1,3;25;0;25;0;0;0;0;0;0;25;0;0;0;0;117;5
6216AG;30;15;15;0;0;20;0;10;60;0;0;0;20;25;20;5;0;0;1,3;25;0;25;0;0;0;0;0;0;25;0;0;0;0;117;10
6216AH;35;20;15;0;0;15;5;10;60;0;10;0;20;25;15;5;0;0;1,5;25;0;25;0;0;0;0;0;0;25;0;0;0;0;117;10
6216AJ;40;15;25;10;10;5;10;0;50;0;20;0;20;15;5;0;5;0;2,6;15;0;15;0;0;0;0;0;0;0;0;0;0;0;196;10
6216AK;50;20;30;10;10;10;15;5;40;0;10;0;30;20;10;0;5;5;2,4;20;0;20;0;0;0;0;0;0;0;0;0;0;0;205;5
6216AL;40;15;25;5;5;10;15;0;40;10;20;0;20;15;5;0;5;5;2,5;15;0;15;0;0;0;0;0;0;0;0;0;0;0;202;10
6216AM;30;20;15;5;10;0;10;0;50;0;0;0;40;10;0;0;0;5;3,2;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;10
6216AN;40;20;25;15;0;15;5;5;60;0;20;0;20;15;0;0;0;5;3;15;0;15;0;0;0;0;0;0;0;0;0;0;0;195;10
6216AP;40;20;20;5;10;5;15;5;40;0;20;10;20;15;0;5;0;5;2,6;15;0;10;0;0;0;0;0;0;0;0;80;10;0;233;10
6216AR;30;10;20;10;5;10;5;0;50;0;0;0;40;10;0;0;5;0;2,8;10;0;10;0;0;0;0;0;0;0;0;0;0;0;208;0
6216AS;35;15;20;5;10;10;10;0;50;20;0;0;0;15;0;0;0;5;2,6;15;0;10;0;0;0;5;0;0;0;0;70;10;0;236;5
6216AT;35;20;15;0;5;10;15;0;40;0;20;0;10;15;0;5;0;5;2,3;15;0;0;0;0;0;15;0;0;0;90;0;0;0;225;0
6216AV;20;10;15;10;0;10;0;0;100;0;0;0;0;5;0;0;0;5;3,5;5;0;5;0;0;0;0;0;0;0;0;0;0;0;230;0
6216AW;30;10;15;0;0;10;5;10;60;20;0;0;0;20;10;5;0;0;1,6;20;0;20;0;0;0;0;0;0;20;0;0;0;0;0;10
6216AX;25;10;10;0;0;5;10;5;60;0;0;0;0;20;15;0;0;0;1,3;20;0;20;0;0;0;0;0;0;20;0;0;0;0;142;5
6216AZ;45;25;15;5;0;5;20;10;70;20;0;0;0;25;10;5;5;0;1,7;25;0;10;15;0;0;0;0;0;0;0;0;0;0;174;10
6216BA;50;25;25;10;10;10;10;10;40;10;20;0;20;20;5;0;5;5;2,6;20;0;0;20;0;0;0;0;0;0;0;0;0;0;0;10
6216BB;25;15;10;0;0;0;10;5;50;0;0;0;20;15;10;0;0;0;1,5;15;0;0;15;0;0;0;0;0;0;0;0;0;0;126;5
6216BC;25;10;15;0;0;10;10;0;40;0;0;0;20;20;15;0;0;0;1,3;20;0;20;0;0;0;0;0;0;20;0;0;0;0;0;10
6216BD;25;15;10;0;0;10;5;5;80;0;0;0;20;20;10;0;0;0;1,4;20;0;20;0;0;0;0;0;0;20;0;0;0;0;0;10
6216BE;30;15;15;0;0;10;10;10;60;0;0;0;20;25;15;5;0;0;1,3;25;0;25;0;0;0;0;0;0;25;0;0;0;0;144;10
6216BG;35;15;20;5;0;15;5;5;70;0;20;0;20;25;15;0;5;0;1,6;25;0;25;0;0;0;0;0;0;25;0;0;0;0;0;10
6216BH;30;20;5;0;15;15;0;0;50;0;20;0;20;25;20;0;0;0;1,2;25;0;25;0;0;0;0;0;0;25;0;0;0;0;0;0
6216BJ;35;20;15;0;25;10;0;0;60;0;0;0;10;30;25;5;0;0;1,2;25;0;25;0;0;0;0;0;0;25;0;0;0;0;163;0
6216BK;25;10;15;0;0;5;5;5;90;0;0;0;0;10;0;5;0;0;2,1;10;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0
6216BL;30;15;15;0;0;10;15;0;60;0;0;0;20;25;20;0;0;0;1,3;25;0;25;0;0;0;0;0;0;25;0;0;0;0;152;15
6216BM;30;15;15;0;0;0;10;15;60;0;0;0;0;15;0;10;0;0;2,2;15;0;0;15;0;0;0;0;0;0;100;0;0;0;398;0
6216BN;40;20;15;5;0;0;15;10;80;10;0;0;0;15;5;5;0;5;2,3;15;0;0;15;0;0;0;0;0;0;100;0;0;0;435;0
6216BR;35;20;15;0;15;10;5;0;40;0;0;40;20;25;20;5;0;0;1,3;20;0;20;0;0;0;0;0;0;20;40;60;0;0;180;0
6216BS;40;20;20;0;20;10;5;5;40;0;0;40;0;30;25;5;0;0;1,3;20;0;20;0;0;0;0;0;0;20;30;60;0;0;177;5
6216BT;15;10;10;0;5;10;0;0;40;0;0;0;40;15;10;0;0;0;1,2;10;0;10;0;0;0;0;0;0;10;40;60;0;0;179;0
6216BV;35;10;25;0;20;10;0;0;20;0;0;50;20;25;20;5;0;0;1,2;15;0;15;0;0;0;0;0;0;15;0;70;0;0;175;0
6216BW;25;10;15;0;0;10;0;10;90;0;0;0;0;15;5;10;0;0;1,6;15;0;15;0;0;0;0;0;0;10;70;30;0;0;222;0
6216BX;25;10;15;0;0;5;5;5;80;0;0;0;0;10;0;5;0;0;2,4;10;0;10;0;0;0;0;0;0;0;100;0;0;0;0;0
6216BZ;25;10;15;5;0;10;0;5;100;0;0;0;0;10;5;0;0;0;2,4;15;0;15;0;0;0;0;0;0;0;90;0;0;0;369;0
6216CA;20;5;10;0;0;0;0;15;100;0;0;0;0;15;10;5;0;0;1,4;15;0;0;15;0;0;0;0;0;15;40;60;0;0;313;0
6216CB;20;5;15;0;0;0;0;20;80;30;0;0;0;15;10;5;0;0;1,4;15;0;0;15;0;0;0;0;0;15;40;60;0;0;0;0
6216CC;20;5;15;0;0;0;0;20;90;0;0;0;0;15;10;5;0;0;1,4;15;0;0;15;0;0;0;0;0;15;40;60;0;0;311;0
6216CD;30;15;15;0;10;10;10;0;70;0;0;30;0;15;10;0;0;0;1,7;10;0;5;0;0;0;0;0;0;0;80;0;0;0;316;0
6216CH;40;15;25;0;0;0;5;35;80;0;0;0;0;30;25;10;0;0;1,3;30;0;0;30;0;0;0;0;0;30;0;100;0;0;146;5
6216CJ;30;15;15;0;0;0;0;30;80;0;0;0;0;20;10;10;0;0;1,5;20;0;0;20;0;0;0;0;0;20;0;0;0;0;175;0
6216CK;25;15;10;0;0;0;0;20;80;0;0;0;0;15;10;10;0;0;1,5;20;0;0;20;0;0;0;0;0;20;0;0;0;0;172;0
6216CL;25;10;15;0;0;0;0;15;50;30;0;0;0;20;15;0;0;0;1,2;20;0;0;20;0;0;0;0;0;20;30;70;0;0;176;0
6216CP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;10;0;0;0;0;0;0;0;243;0
6216CR;15;5;10;0;0;0;0;10;80;0;0;0;0;10;5;0;0;0;1,5;10;0;0;10;0;0;0;0;0;10;0;60;0;0;224;0
6216CS;15;5;10;0;0;0;0;10;90;0;0;0;0;10;5;5;0;0;1,4;10;0;0;10;0;0;0;0;0;10;60;40;0;0;226;0
6216CT;15;5;10;0;0;0;0;10;80;0;0;0;0;10;0;5;0;0;1,6;10;0;0;10;0;0;0;0;0;10;80;0;0;0;225;0
6216CV;25;10;15;0;0;0;0;15;70;0;0;0;0;10;0;5;0;0;1,9;15;0;0;10;0;0;0;0;0;15;0;80;0;0;229;0
6216EA;90;45;45;10;20;15;35;10;80;0;0;10;0;40;15;10;0;10;2,2;30;0;0;0;0;0;30;0;0;0;90;0;0;0;353;10
6216EC;25;10;15;0;0;10;0;5;60;0;0;20;0;15;10;5;0;0;1,5;20;0;0;20;0;0;0;0;0;20;60;40;0;0;168;0
6216ED;20;15;10;0;0;10;0;0;60;0;0;0;0;15;10;0;0;0;1,4;10;0;0;10;0;0;0;0;0;10;0;50;0;0;166;0
6216EG;1105;455;650;0;965;140;0;0;0;0;0;40;60;1100;1100;0;0;0;1;40;0;15;0;0;0;25;0;0;40;0;100;0;40;0;0
6216EM;55;25;35;0;0;0;5;50;90;0;0;0;0;40;25;15;0;0;1,4;45;0;0;0;0;0;45;0;0;45;0;100;0;0;198;5
6216EN;105;45;55;0;5;20;30;45;70;10;10;0;0;65;30;25;0;5;1,7;65;0;0;0;0;0;65;0;0;30;50;50;30;0;299;0
6216EP;110;55;60;5;10;10;35;50;80;10;0;10;0;55;15;25;0;10;2;55;0;0;0;0;0;55;0;0;25;80;20;5;0;375;10
6216ER;35;20;15;5;5;0;20;0;90;0;0;0;0;15;0;5;0;5;2,7;15;0;0;0;0;0;15;0;0;0;100;0;0;0;473;5
6216ES;45;25;20;0;10;0;20;10;80;0;0;10;0;15;0;10;0;5;2,7;15;0;0;0;0;0;15;0;0;0;100;0;0;0;638;0
6216ET;80;35;45;0;0;0;20;50;90;10;0;0;0;45;15;25;0;5;1,9;45;0;0;0;0;0;45;0;0;0;100;0;0;0;372;5
6216EV;60;35;25;5;0;15;15;20;70;0;10;10;0;30;10;10;0;5;2;30;0;0;0;0;0;30;0;0;0;100;0;0;0;410;0
6216NS;35;10;25;5;10;5;0;15;70;0;0;20;0;20;10;0;0;0;1,8;15;0;0;15;0;0;0;0;0;0;70;0;0;0;239;0
6216NT;25;15;10;0;0;10;0;5;80;0;0;0;0;10;0;5;0;0;2,1;15;0;0;15;0;0;0;0;0;0;100;0;0;0;262;0
6216NV;45;25;25;0;15;20;5;0;50;0;0;30;10;35;30;0;0;0;1,2;25;0;25;0;0;0;0;0;0;25;50;50;0;0;193;0
6216NW;45;20;20;0;15;10;15;10;60;0;0;30;0;35;25;5;0;0;1,3;25;0;25;0;0;0;0;0;0;25;70;30;0;0;176;0
6216NX;20;10;15;0;0;10;5;0;70;0;0;0;0;15;10;0;0;0;1,4;15;0;15;0;0;0;0;0;0;15;60;40;0;0;174;0
6216NZ;30;15;15;0;0;0;5;10;80;0;0;0;0;10;0;0;0;0;2,3;10;0;0;10;0;0;0;0;0;0;100;0;0;0;333;0
6216PC;10;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6216PD;40;25;15;5;0;10;10;15;90;0;0;0;0;20;5;10;0;0;2;20;0;0;20;0;0;0;0;0;0;100;0;0;0;297;0
6216PE;50;20;25;5;0;10;10;20;80;0;0;0;0;25;10;10;0;5;2;25;0;0;25;0;0;0;0;0;0;100;0;0;0;232;0
6216PG;25;10;15;0;0;5;10;5;70;20;0;0;0;10;0;5;0;0;2;10;0;0;10;0;0;0;0;0;0;100;0;0;0;234;0
6216PH;60;20;40;0;10;5;5;30;70;0;0;20;0;40;25;15;0;0;1,5;35;0;35;0;0;0;0;0;0;35;80;20;0;0;175;0
6216PJ;50;25;25;5;0;15;20;10;80;0;0;0;0;25;0;10;0;5;2,3;25;0;0;25;0;0;0;0;0;0;90;0;0;0;260;0
6216PK;75;35;40;0;5;20;10;40;90;0;0;10;0;50;30;20;0;0;1,5;50;0;0;50;0;0;0;0;0;50;80;20;0;0;168;0
6216PL;65;35;30;15;10;20;15;10;90;0;0;0;0;25;0;10;0;10;2,7;25;0;0;25;0;0;0;0;0;0;100;0;0;0;248;0
6216PM;30;15;15;5;0;10;10;0;80;0;0;0;0;15;0;5;0;0;2,3;10;0;0;10;0;0;0;0;0;0;90;0;0;0;0;0
6216PN;20;10;10;0;0;0;0;15;80;0;0;0;0;10;0;5;0;0;2;10;0;0;10;0;0;0;0;0;0;100;0;0;0;451;0
6216PP;45;20;25;5;10;10;15;10;100;0;0;0;0;20;5;0;0;10;2,3;20;0;0;20;0;0;0;0;0;0;90;0;0;0;247;0
6216PR;30;15;15;5;0;5;5;10;70;0;0;0;0;15;10;0;0;0;1,8;15;0;0;15;0;0;0;0;0;0;100;0;0;0;226;0
6216PS;35;15;20;0;10;5;15;0;80;0;0;0;0;15;5;0;0;10;2,4;15;0;0;10;0;0;0;0;0;0;100;0;0;0;252;0
6216PT;30;15;15;0;0;10;5;10;70;0;0;0;0;10;0;5;0;0;2,3;10;0;0;10;0;0;0;0;0;0;100;0;0;0;346;0
6216PV;35;20;15;0;0;0;10;15;70;0;0;0;0;15;0;10;0;0;2;20;0;0;20;0;0;0;0;0;0;100;0;0;0;242;0
6216PW;15;10;5;0;5;0;5;5;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6216PX;25;10;15;0;15;5;5;0;30;0;0;60;0;20;15;5;0;0;1,2;15;0;15;0;0;0;0;0;0;15;0;60;0;0;170;0
6216PZ;30;15;15;0;10;10;0;0;60;0;0;30;0;15;0;10;0;0;1,9;15;0;10;10;0;0;0;0;0;10;60;40;0;0;212;0
6216RA;45;20;20;0;10;10;15;5;70;0;0;10;0;25;10;10;0;0;1,9;20;0;0;20;0;0;0;0;0;0;100;0;0;0;254;0
6216RB;25;10;15;0;15;10;0;0;40;0;0;40;0;20;15;5;0;0;1,2;15;0;15;0;0;0;0;0;0;15;30;60;0;0;177;0
6216RC;35;20;15;0;5;15;0;5;50;0;0;50;0;25;15;5;0;0;1,4;15;0;15;0;0;0;0;0;0;15;60;40;0;0;179;0
6216RD;55;30;25;10;0;15;10;15;80;0;0;10;0;20;0;10;0;5;2,5;25;0;0;25;0;0;0;0;0;0;80;0;0;0;245;0
6216RE;60;25;30;10;10;15;15;10;90;0;0;0;0;30;10;5;0;5;2;25;0;0;25;0;0;0;0;0;0;90;0;0;0;240;0
6216RG;15;5;10;0;0;0;5;0;90;0;0;0;0;5;0;0;0;0;2,5;5;0;0;5;0;0;0;0;0;0;0;0;0;0;239;0
6216RH;115;45;70;0;25;10;20;55;70;0;0;10;10;85;55;25;0;0;1,4;75;0;25;0;0;0;50;0;0;75;70;30;0;0;218;5
6216RJ;20;5;15;0;0;5;5;0;60;0;0;30;0;20;15;0;0;0;1,2;15;0;15;0;0;0;0;0;0;15;60;30;0;0;176;0
6216RK;40;15;25;0;5;20;10;0;50;0;0;30;20;25;20;10;0;0;1,4;25;0;25;0;0;0;0;0;0;25;40;50;0;0;174;0
6216RL;50;20;30;0;20;10;5;5;70;0;0;30;0;30;20;10;0;0;1,5;25;0;15;10;0;0;0;0;0;15;60;40;0;0;249;0
6216RM;35;15;20;0;15;5;10;0;40;0;0;40;10;25;15;10;0;0;1,4;25;0;25;0;0;0;0;0;0;25;40;60;0;0;0;5
6216RN;35;15;25;0;15;15;5;5;60;0;0;40;0;25;15;10;0;0;1,5;25;0;25;0;0;0;0;0;0;25;40;50;0;0;177;0
6216RP;20;10;15;0;5;10;0;5;70;0;0;20;0;20;15;0;0;0;1,2;15;0;15;0;0;0;0;0;0;15;40;60;0;0;175;0
6216RR;30;15;15;5;5;5;5;0;60;0;0;0;0;10;0;5;0;0;3,2;10;0;0;10;0;0;0;0;0;0;0;0;0;0;252;0
